IDfg,Season,Name,Projected_H,Projected_2B,Projected_3B,Projected_HR,Projected_R,Projected_RBI,Projected_BB,Projected_SH,Projected_SB,Projected_AB,Projected_PA,Projected_AVG,Projected_OBP,Projected_SLG,Projected_OPS,H,1B,2B,3B,HR,R,RBI,BB,SH,SB,wRC,WAR,G,AB,PA,AVG,BB%,OBP,SLG,OPS,ISO,wRAA,wRC+
13355,2022,Luke Maile,44,9,1,5,25,22,18,2,2,194,217,.227,.298,.361,.658,40,27,10,0,3,19,17,19,0,0,19,0.7,76,181,206,0.221,0.092,0.301,0.326,0.627,0.105,-4.7,82
6887,2022,Martin Maldonado,79,15,1,14,48,43,48,2,2,400,458,.198,.291,.345,.636,64,37,12,0,15,40,45,22,4,0,30,0.8,113,344,379,0.186,0.0579999999999999,0.248,0.352,0.6,0.166,-13.7,71
15149,2022,Trey Mancini,119,26,1,20,67,62,44,1,1,454,508,.262,.334,.456,.790,124,82,23,1,18,56,63,53,0,0,68,0.9,143,519,587,0.239,0.09,0.319,0.391,0.71,0.152,1.2,105
22871,2022,Tucupita Marcano,48,9,1,6,29,24,22,1,2,200,225,.240,.320,.385,.705,33,23,6,2,2,18,13,10,5,2,12,-0.2,49,160,177,0.206,0.0559999999999999,0.256,0.306,0.562,0.1,-8.5,55
14712,2022,Manuel Margot,106,20,2,11,58,50,40,2,16,428,475,.248,.313,.381,.694,92,68,18,2,4,36,47,24,0,7,41,1.3,89,336,363,0.274,0.066,0.325,0.375,0.7,0.101,-0.4,104
20202,2022,Brandon Marsh,75,15,3,7,37,31,28,2,6,297,330,.253,.321,.394,.715,104,71,18,4,11,49,52,28,3,10,48,1.4,134,424,461,0.245,0.061,0.295,0.384,0.679,0.139,-5.0,90
13613,2022,Ketel Marte,119,27,3,16,59,56,34,1,4,398,440,.299,.358,.503,.861,118,62,42,2,12,68,52,55,0,5,67,1.8,137,492,558,0.24,0.099,0.321,0.407,0.727,0.167,3.3,102
9241,2022,Starling Marte,135,26,3,15,80,60,35,2,28,477,531,.283,.347,.444,.791,136,91,24,5,16,76,63,26,0,18,76,3.5,118,466,505,0.292,0.051,0.347,0.468,0.814,0.176,18.0,133
6184,2022,J.D. Martinez,138,33,2,24,76,82,53,1,2,517,581,.267,.337,.478,.815,146,86,43,1,16,76,62,52,0,0,84,1.4,139,533,596,0.274,0.087,0.341,0.448,0.79,0.174,15.7,119
17273,2022,Jorge Mateo,69,16,1,8,34,29,20,3,9,283,312,.244,.303,.392,.695,109,64,25,7,13,63,50,27,3,35,49,2.8,150,494,533,0.221,0.051,0.267,0.379,0.646,0.158,-12.1,84
21635,2022,Nick Maton,60,13,1,7,33,30,23,2,4,236,266,.254,.328,.407,.735,18,10,2,1,5,13,17,10,0,0,13,0.6,35,72,85,0.25,0.118,0.341,0.514,0.855,0.264,3.7,135
15402,2022,Jack Mayfield,71,17,0,11,39,42,23,4,5,325,358,.218,.277,.372,.649,13,10,1,1,1,8,6,3,0,1,3,-0.4,23,70,74,0.186,0.0409999999999999,0.23,0.271,0.501,0.086,-5.1,39
18142,2022,Patrick Mazeika,50,10,1,6,26,25,18,1,2,218,244,.229,.298,.367,.664,13,8,4,0,1,4,6,2,2,0,3,0.0,24,68,72,0.191,0.0279999999999999,0.214,0.294,0.508,0.103,-5.0,43
12859,2022,James McCann,97,17,1,14,46,51,32,1,3,394,436,.246,.309,.401,.710,34,25,6,0,3,19,18,11,0,3,12,0.1,61,174,191,0.195,0.0579999999999999,0.257,0.282,0.538,0.086,-10.2,57
21622,2022,Jake McCarthy,50,10,1,7,31,24,22,2,5,207,235,.242,.325,.401,.726,91,64,16,3,8,53,43,23,3,23,48,2.2,99,321,354,0.283,0.065,0.342,0.427,0.769,0.143,7.7,116
